URL,HTML,Title,Abstract,Publish_date,Authors,KMeansTags
https://deepmind.google/research/publications/130468,"Automated Discovery of Interpretable Cognitive Programs underlying Reward-guided behavior - Google DeepMind                                      Jump to Content                     Google     DeepMind       Search...                 Search Close                            Google     DeepMind                                      About                                                      Learn about Google DeepMind                                             — Our mission is to build AI responsibly to benefit humanity                             Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                             Education                                             — Our vision is to help make the AI ecosystem more representative of society                             Careers                                             — Many disciplines, one common goal                               Research                                                      View Research                                             — We work on some of the most complex and interesting challenges in AI.                             Breakthroughs                                             — Explore some of the biggest innovations in AI                             Publications                                             — Explore a selection of our recent research                               Technologies                                                      View Technologies                                             — Solving the world’s most complex challenges                             Gemini                                             — The most general and capable AI models we've ever built                             Project Astra                                             — A universal AI agent that is helpful in everyday life                             Imagen                                             — Our highest quality text-to-image model                             Veo                                       — Our state-of-the-art video generation model                             Overview                                                            Veo 2                         (New)                      AlphaFold                                       — Accelerating breakthroughs in biology with AI                             Overview                                                            Impact stories                                                            AlphaFold Server                                                            AlphaFold Database                                             SynthID                                             — Identifying AI-generated content                               Discover                                                      View Discover                                             — Discover our latest breakthroughs and see how we’re shaping the future                             Blog                                             — Discover our latest AI breakthroughs, projects, and updates                             Events                                             — Meet our team and learn more about our research                             The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                       Search...                  Search Close                                   Learn about Google DeepMind                                          Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                            Education                                             — Our vision is to help make the AI ecosystem more representative of society                            Careers                                             — Many disciplines, one common goal                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Research                                          Breakthroughs                                             — Explore some of the biggest innovations in AI                            Publications                                             — Explore a selection of our recent research                 Latest research posts        DolphinGemma: How Google AI is helping decode dolphin communication 14 April 2025            Google DeepMind at NeurIPS 2024 5 December 2024                        View Technologies                                          Gemini                                             — The most general and capable AI models we've ever built                            Project Astra                                             — A universal AI agent that is helpful in everyday life                            Imagen                                             — Our highest quality text-to-image model                            Veo                                             — Our state-of-the-art video generation model                            AlphaFold                                             — Accelerating breakthroughs in biology with AI                            SynthID                                             — Identifying AI-generated content                 Latest technology posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Discover                                          Blog                                             — Discover our latest AI breakthroughs, projects, and updates                            Events                                             — Meet our team and learn more about our research                            The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                   Automated Discovery of Interpretable Cognitive Programs underlying Reward-guided behavior  Published 6 February 2025    View publication      Download                   Share                                                  Copy link                   ×                          Abstract A principal goal of computational neuroscience is to discover mathematical models that describe how the brain implements cognitive processes. Computational neuroscientists typically face a difficult choice between symbolic model-driven approaches that are interpretable, but underperform at predicting animal behavior, versus data-driven approaches that train overparameterized models to make accurate behavioral predictions with often hard-to-interpret, blackbox models. In this work, we explore the use of an automated LLM-based program discovery tool (FunSearch, \cite{romeraparedes2024mathematical}) to discover novel symbolic programs that accurately describe animal behavior without sacrificing interpretability. We dub this CogFunSearch, and verify its efficacy on behavioral data from rodent reward-guided choice behaviors \cite{miller2021predictive}. We find that CogFunSearch is able to reliably discover programs that outperform the state-of-the-art cognitive model for predicting rat choices in a 2-armed drifting bandit task. This is the case both when CogFunSearch is used to improve on inputted programs, as well as when it is used to discover programs from scratch. Moreover, we find that CogFunSearch is sensitive to semantic information in the prompt: prompts that provide details of the dataset and suggest an RL modeling framework lead to quantitatively better programs than uninformative prompts. Both the classic models and the discovered programs are significantly outperformed by a simple, yet unconstrained, neural network, implying that there remains substantial room for improvement in the predictive performance of the discovered functions. Broadly, these results provide early insights into the use of LLM-based program discovery tools to find models of cognition. Authors Pablo Castro Rivadeneira, Kim Stachenfeld, Kevin Miller, Nenad Tomašev, Navodita Sharma, Ankit Anand, Alexander Novikov, Kuba Perlin, Nathaniel Daw, Will Dabney, noemielteto , Siddhant Jain, Kyle Levin Venue Biorxiv     Footer links    Follow us                                              About         About Google DeepMind   Responsibility & Safety   Research   Technologies   Blog   Careers        Learn more         Gemini   Veo   Imagen   SynthID                           Sign up for updates on our latest innovations                        Email address           Please enter a valid email (e.g., ""name@example.com"")     I accept Google's Terms and Conditions and acknowledge that my information will be used in accordance with Google's Privacy Policy. Sign up                About Google   Google products   Privacy   Terms   Cookies management controls",Automated Discovery of Interpretable Cognitive Programs underlying Reward-guided behavior,"A principal goal of computational neuroscience is to discover mathematical models that describe how the brain implements cognitive processes. Computational neuroscientists typically face a difficult choice between symbolic model-driven approaches that are interpretable, but underperform at predicting animal behavior, versus data-driven approaches that train overparameterized models to make accurate behavioral predictions with often hard-to-interpret, blackbox models. In this work, we explore the use of an automated LLM-based program discovery tool (FunSearch, \cite{romeraparedes2024mathematical}) to discover novel symbolic programs that accurately describe animal behavior without sacrificing interpretability. We dub this CogFunSearch, and verify its efficacy on behavioral data from rodent reward-guided choice behaviors \cite{miller2021predictive}. We find that CogFunSearch is able to reliably discover programs that outperform the state-of-the-art cognitive model for predicting rat choices in a 2-armed drifting bandit task. This is the case both when CogFunSearch is used to improve on inputted programs, as well as when it is used to discover programs from scratch. Moreover, we find that CogFunSearch is sensitive to semantic information in the prompt: prompts that provide details of the dataset and suggest an RL modeling framework lead to quantitatively better programs than uninformative prompts. Both the classic models and the discovered programs are significantly outperformed by a simple, yet unconstrained, neural network, implying that there remains substantial room for improvement in the predictive performance of the discovered functions. Broadly, these results provide early insights into the use of LLM-based program discovery tools to find models of cognition.",6 February 2025,"Pablo Castro Rivadeneira, Kim Stachenfeld, Kevin Miller, Nenad Tomašev, Navodita Sharma, Ankit Anand, Alexander Novikov, Kuba Perlin, Nathaniel Daw, Will Dabney, noemielteto , Siddhant Jain, Kyle Levin","['data', 'neural', 'networks', 'features', 'feature']"
https://deepmind.google/research/publications/132991,"Scaling Pre-training to One Hundred Billion Data for Vision Language Models - Google DeepMind                                      Jump to Content                     Google     DeepMind       Search...                 Search Close                            Google     DeepMind                                      About                                                      Learn about Google DeepMind                                             — Our mission is to build AI responsibly to benefit humanity                             Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                             Education                                             — Our vision is to help make the AI ecosystem more representative of society                             Careers                                             — Many disciplines, one common goal                               Research                                                      View Research                                             — We work on some of the most complex and interesting challenges in AI.                             Breakthroughs                                             — Explore some of the biggest innovations in AI                             Publications                                             — Explore a selection of our recent research                               Technologies                                                      View Technologies                                             — Solving the world’s most complex challenges                             Gemini                                             — The most general and capable AI models we've ever built                             Project Astra                                             — A universal AI agent that is helpful in everyday life                             Imagen                                             — Our highest quality text-to-image model                             Veo                                       — Our state-of-the-art video generation model                             Overview                                                            Veo 2                         (New)                      AlphaFold                                       — Accelerating breakthroughs in biology with AI                             Overview                                                            Impact stories                                                            AlphaFold Server                                                            AlphaFold Database                                             SynthID                                             — Identifying AI-generated content                               Discover                                                      View Discover                                             — Discover our latest breakthroughs and see how we’re shaping the future                             Blog                                             — Discover our latest AI breakthroughs, projects, and updates                             Events                                             — Meet our team and learn more about our research                             The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                       Search...                  Search Close                                   Learn about Google DeepMind                                          Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                            Education                                             — Our vision is to help make the AI ecosystem more representative of society                            Careers                                             — Many disciplines, one common goal                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Research                                          Breakthroughs                                             — Explore some of the biggest innovations in AI                            Publications                                             — Explore a selection of our recent research                 Latest research posts        DolphinGemma: How Google AI is helping decode dolphin communication 14 April 2025            Google DeepMind at NeurIPS 2024 5 December 2024                        View Technologies                                          Gemini                                             — The most general and capable AI models we've ever built                            Project Astra                                             — A universal AI agent that is helpful in everyday life                            Imagen                                             — Our highest quality text-to-image model                            Veo                                             — Our state-of-the-art video generation model                            AlphaFold                                             — Accelerating breakthroughs in biology with AI                            SynthID                                             — Identifying AI-generated content                 Latest technology posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Discover                                          Blog                                             — Discover our latest AI breakthroughs, projects, and updates                            Events                                             — Meet our team and learn more about our research                            The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                   Scaling Pre-training to One Hundred Billion Data for Vision Language Models  Published 11 February 2025    View publication      Download                   Share                                                  Copy link                   ×                          Abstract We provide an empirical investigation of the potential of pre-training vision-language models on an unprecedented scale: 100 billion examples. We find that model performance tends to saturate at this scale on many common Western-centric classification and retrieval benchmarks, such as COCO Captions. Nevertheless, tasks of cultural diversity achieve more substantial gains from the 100-billion scale web data, thanks to its coverage of long-tail concepts. Furthermore, we analyze the model's multilinguality and show gains in low-resource languages as well. In addition, we observe that reducing the size of the pretraining dataset via quality filters like using CLIP, typically used to enhance performance, may inadvertently reduce the cultural diversity represented even in large-scale datasets. Our results highlight that while traditional benchmarks may not benefit significantly from scaling noisy, raw web data to 100 billion examples, this data scale is vital for building truly inclusive multimodal systems. Authors Xiao Wang, Ibrahim Alabdulmohsin, Daniel Salz, Zhe Li, Keran Rong, Xiaohua Zhai*  * External author  Venue arXiv     Footer links    Follow us                                              About         About Google DeepMind   Responsibility & Safety   Research   Technologies   Blog   Careers        Learn more         Gemini   Veo   Imagen   SynthID                           Sign up for updates on our latest innovations                        Email address           Please enter a valid email (e.g., ""name@example.com"")     I accept Google's Terms and Conditions and acknowledge that my information will be used in accordance with Google's Privacy Policy. Sign up                About Google   Google products   Privacy   Terms   Cookies management controls",Scaling Pre-training to One Hundred Billion Data for Vision Language Models,"We provide an empirical investigation of the potential of pre-training vision-language models on an unprecedented scale: 100 billion examples. We find that model performance tends to saturate at this scale on many common Western-centric classification and retrieval benchmarks, such as COCO Captions. Nevertheless, tasks of cultural diversity achieve more substantial gains from the 100-billion scale web data, thanks to its coverage of long-tail concepts. Furthermore, we analyze the model's multilinguality and show gains in low-resource languages as well. In addition, we observe that reducing the size of the pretraining dataset via quality filters like using CLIP, typically used to enhance performance, may inadvertently reduce the cultural diversity represented even in large-scale datasets. Our results highlight that while traditional benchmarks may not benefit significantly from scaling noisy, raw web data to 100 billion examples, this data scale is vital for building truly inclusive multimodal systems.",11 February 2025,"Xiao Wang, Ibrahim Alabdulmohsin, Daniel Salz, Zhe Li, Keran Rong, Xiaohua Zhai*  *","['vision', 'scale', 'image', 'dense', 'text']"
https://deepmind.google/research/publications/112791,"Delta Variances - Google DeepMind                                      Jump to Content                     Google     DeepMind       Search...                 Search Close                            Google     DeepMind                                      About                                                      Learn about Google DeepMind                                             — Our mission is to build AI responsibly to benefit humanity                             Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                             Education                                             — Our vision is to help make the AI ecosystem more representative of society                             Careers                                             — Many disciplines, one common goal                               Research                                                      View Research                                             — We work on some of the most complex and interesting challenges in AI.                             Breakthroughs                                             — Explore some of the biggest innovations in AI                             Publications                                             — Explore a selection of our recent research                               Technologies                                                      View Technologies                                             — Solving the world’s most complex challenges                             Gemini                                             — The most general and capable AI models we've ever built                             Project Astra                                             — A universal AI agent that is helpful in everyday life                             Imagen                                             — Our highest quality text-to-image model                             Veo                                       — Our state-of-the-art video generation model                             Overview                                                            Veo 2                         (New)                      AlphaFold                                       — Accelerating breakthroughs in biology with AI                             Overview                                                            Impact stories                                                            AlphaFold Server                                                            AlphaFold Database                                             SynthID                                             — Identifying AI-generated content                               Discover                                                      View Discover                                             — Discover our latest breakthroughs and see how we’re shaping the future                             Blog                                             — Discover our latest AI breakthroughs, projects, and updates                             Events                                             — Meet our team and learn more about our research                             The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                       Search...                  Search Close                                   Learn about Google DeepMind                                          Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                            Education                                             — Our vision is to help make the AI ecosystem more representative of society                            Careers                                             — Many disciplines, one common goal                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Research                                          Breakthroughs                                             — Explore some of the biggest innovations in AI                            Publications                                             — Explore a selection of our recent research                 Latest research posts        DolphinGemma: How Google AI is helping decode dolphin communication 14 April 2025            Google DeepMind at NeurIPS 2024 5 December 2024                        View Technologies                                          Gemini                                             — The most general and capable AI models we've ever built                            Project Astra                                             — A universal AI agent that is helpful in everyday life                            Imagen                                             — Our highest quality text-to-image model                            Veo                                             — Our state-of-the-art video generation model                            AlphaFold                                             — Accelerating breakthroughs in biology with AI                            SynthID                                             — Identifying AI-generated content                 Latest technology posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Discover                                          Blog                                             — Discover our latest AI breakthroughs, projects, and updates                            Events                                             — Meet our team and learn more about our research                            The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                   Delta Variances  Published 20 February 2025    View publication      Download                   Share                                                  Copy link                   ×                          Abstract Decision makers may suffer from uncertainty induced by limited data. This may be mitigated by accounting for epistemic uncertainty, which is however challenging to estimate efficiently for large neural networks. To this extent we investigate the Delta Variance family, a family of algorithms for epistemic uncertainty quantification, that is computationally efficient and convenient to implement. It can be applied to neural networks and more general functions composed of neural networks. As an example we consider a weather simulator with a neural-network-based step function inside - here Delta Variances empirically obtain competitive results at the cost of a single gradient computation. The approach is convenient as it requires no changes to the neural network architecture or training procedure. We discuss multiple ways to derive Delta Variances theoretically noting that special cases recover popular techniques and present a unified perspective on multiple related methods. Finally we observe that this general perspective gives rise to a natural extension and empirically show its benefit. Authors Simon Schmitt, John Shawe-Taylor, Hado van Hasselt Venue AAAI 2025     Footer links    Follow us                                              About         About Google DeepMind   Responsibility & Safety   Research   Technologies   Blog   Careers        Learn more         Gemini   Veo   Imagen   SynthID                           Sign up for updates on our latest innovations                        Email address           Please enter a valid email (e.g., ""name@example.com"")     I accept Google's Terms and Conditions and acknowledge that my information will be used in accordance with Google's Privacy Policy. Sign up                About Google   Google products   Privacy   Terms   Cookies management controls",Generate videos in Gemini and Whisk with Veo 2 15 April 2025                   Delta Variances,"Decision makers may suffer from uncertainty induced by limited data. This may be mitigated by accounting for epistemic uncertainty, which is however challenging to estimate efficiently for large neural networks. To this extent we investigate the Delta Variance family, a family of algorithms for epistemic uncertainty quantification, that is computationally efficient and convenient to implement. It can be applied to neural networks and more general functions composed of neural networks. As an example we consider a weather simulator with a neural-network-based step function inside - here Delta Variances empirically obtain competitive results at the cost of a single gradient computation. The approach is convenient as it requires no changes to the neural network architecture or training procedure. We discuss multiple ways to derive Delta Variances theoretically noting that special cases recover popular techniques and present a unified perspective on multiple related methods. Finally we observe that this general perspective gives rise to a natural extension and empirically show its benefit.",20 February 2025,"Simon Schmitt, John Shawe-Taylor, Hado van Hasselt","['planning', 'inference', 'energy', 'variational', 'delta']"
https://deepmind.google/research/publications/127036,"Effective Kernel Fuzzing with Learned White-box Test Mutators - Google DeepMind                                      Jump to Content                     Google     DeepMind       Search...                 Search Close                            Google     DeepMind                                      About                                                      Learn about Google DeepMind                                             — Our mission is to build AI responsibly to benefit humanity                             Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                             Education                                             — Our vision is to help make the AI ecosystem more representative of society                             Careers                                             — Many disciplines, one common goal                               Research                                                      View Research                                             — We work on some of the most complex and interesting challenges in AI.                             Breakthroughs                                             — Explore some of the biggest innovations in AI                             Publications                                             — Explore a selection of our recent research                               Technologies                                                      View Technologies                                             — Solving the world’s most complex challenges                             Gemini                                             — The most general and capable AI models we've ever built                             Project Astra                                             — A universal AI agent that is helpful in everyday life                             Imagen                                             — Our highest quality text-to-image model                             Veo                                       — Our state-of-the-art video generation model                             Overview                                                            Veo 2                         (New)                      AlphaFold                                       — Accelerating breakthroughs in biology with AI                             Overview                                                            Impact stories                                                            AlphaFold Server                                                            AlphaFold Database                                             SynthID                                             — Identifying AI-generated content                               Discover                                                      View Discover                                             — Discover our latest breakthroughs and see how we’re shaping the future                             Blog                                             — Discover our latest AI breakthroughs, projects, and updates                             Events                                             — Meet our team and learn more about our research                             The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                       Search...                  Search Close                                   Learn about Google DeepMind                                          Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                            Education                                             — Our vision is to help make the AI ecosystem more representative of society                            Careers                                             — Many disciplines, one common goal                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Research                                          Breakthroughs                                             — Explore some of the biggest innovations in AI                            Publications                                             — Explore a selection of our recent research                 Latest research posts        DolphinGemma: How Google AI is helping decode dolphin communication 14 April 2025            Google DeepMind at NeurIPS 2024 5 December 2024                        View Technologies                                          Gemini                                             — The most general and capable AI models we've ever built                            Project Astra                                             — A universal AI agent that is helpful in everyday life                            Imagen                                             — Our highest quality text-to-image model                            Veo                                             — Our state-of-the-art video generation model                            AlphaFold                                             — Accelerating breakthroughs in biology with AI                            SynthID                                             — Identifying AI-generated content                 Latest technology posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Discover                                          Blog                                             — Discover our latest AI breakthroughs, projects, and updates                            Events                                             — Meet our team and learn more about our research                            The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                   Effective Kernel Fuzzing with Learned White-box Test Mutators  Published 1 April 2025    View publication                   Share                                                  Copy link                   ×                          Abstract Kernel fuzzers rely heavily on program mutation to automatically generate new test programs based on existing ones. In particular, program mutation can alter the test’s control and data flow inside the kernel by inserting new system calls, changing the values of call arguments, or performing other program mutations. However, due to the complexity of the kernel code and its user-space interface, finding the effective mutation that can lead to the desired outcome such as increasing the coverage and reaching a target code location is extremely difficult, even with the widespread use of manually-crafted heuristics. This work proposes Snowplow, a kernel fuzzer that uses a learned white-box test mutator to enhance test mutation. The core of Snowplow is an efficient machine learning model that can learn to predict promising mutations given the test program to mutate, its kernel code coverage, and the desired coverage. Snowplow is demonstrated on argument mutations of the kernel tests, and evaluated on recent Linux kernel releases. When fuzzing the kernels for 24 hours, Snowplow shows a significant speedup of discovering new coverage (4.8×∼5.2×) and achieves higher overall coverage (7.0%∼8.6%). In a 7-day fuzzing campaign, Snowplow discovers 86 previously-unknown crashes. Furthermore, the learned mutator is shown to accelerate directed kernel fuzzing by reaching 19 target code locations 8.5× faster and two additional locations that are missed by the state-of-the-art directed kernel fuzzer. Authors Sishuai Gong, Wang Rui, Deniz Altinbüken, Pedro Fonseca, Petros Maniatis Venue ASPLOS 2025 (Fall Cycle)     Footer links    Follow us                                              About         About Google DeepMind   Responsibility & Safety   Research   Technologies   Blog   Careers        Learn more         Gemini   Veo   Imagen   SynthID                           Sign up for updates on our latest innovations                        Email address           Please enter a valid email (e.g., ""name@example.com"")     I accept Google's Terms and Conditions and acknowledge that my information will be used in accordance with Google's Privacy Policy. Sign up                About Google   Google products   Privacy   Terms   Cookies management controls",Veo 2 15 April 2025                   Effective Kernel Fuzzing with Learned White-box Test Mutators,"Kernel fuzzers rely heavily on program mutation to automatically generate new test programs based on existing ones. In particular, program mutation can alter the test’s control and data flow inside the kernel by inserting new system calls, changing the values of call arguments, or performing other program mutations. However, due to the complexity of the kernel code and its user-space interface, finding the effective mutation that can lead to the desired outcome such as increasing the coverage and reaching a target code location is extremely difficult, even with the widespread use of manually-crafted heuristics. This work proposes Snowplow, a kernel fuzzer that uses a learned white-box test mutator to enhance test mutation. The core of Snowplow is an efficient machine learning model that can learn to predict promising mutations given the test program to mutate, its kernel code coverage, and the desired coverage. Snowplow is demonstrated on argument mutations of the kernel tests, and evaluated on recent Linux kernel releases. When fuzzing the kernels for 24 hours, Snowplow shows a significant speedup of discovering new coverage (4.8×∼5.2×) and achieves higher overall coverage (7.0%∼8.6%). In a 7-day fuzzing campaign, Snowplow discovers 86 previously-unknown crashes. Furthermore, the learned mutator is shown to accelerate directed kernel fuzzing by reaching 19 target code locations 8.5× faster and two additional locations that are missed by the state-of-the-art directed kernel fuzzer.",1 April 2025,"Sishuai Gong, Wang Rui, Deniz Altinbüken, Pedro Fonseca, Petros Maniatis","['hash', 'kernel', 'keys', 'snowplow', 'coverage']"
https://deepmind.google/research/publications/121982,"TIPS: Text-Image Pretraining with Spatial awareness - Google DeepMind                                      Jump to Content                     Google     DeepMind       Search...                 Search Close                            Google     DeepMind                                      About                                                      Learn about Google DeepMind                                             — Our mission is to build AI responsibly to benefit humanity                             Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                             Education                                             — Our vision is to help make the AI ecosystem more representative of society                             Careers                                             — Many disciplines, one common goal                               Research                                                      View Research                                             — We work on some of the most complex and interesting challenges in AI.                             Breakthroughs                                             — Explore some of the biggest innovations in AI                             Publications                                             — Explore a selection of our recent research                               Technologies                                                      View Technologies                                             — Solving the world’s most complex challenges                             Gemini                                             — The most general and capable AI models we've ever built                             Project Astra                                             — A universal AI agent that is helpful in everyday life                             Imagen                                             — Our highest quality text-to-image model                             Veo                                       — Our state-of-the-art video generation model                             Overview                                                            Veo 2                         (New)                      AlphaFold                                       — Accelerating breakthroughs in biology with AI                             Overview                                                            Impact stories                                                            AlphaFold Server                                                            AlphaFold Database                                             SynthID                                             — Identifying AI-generated content                               Discover                                                      View Discover                                             — Discover our latest breakthroughs and see how we’re shaping the future                             Blog                                             — Discover our latest AI breakthroughs, projects, and updates                             Events                                             — Meet our team and learn more about our research                             The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                       Search...                  Search Close                                   Learn about Google DeepMind                                          Responsibility & Safety                                             — We want AI to benefit the world, so we must be thoughtful about how it’s built and used                            Education                                             — Our vision is to help make the AI ecosystem more representative of society                            Careers                                             — Many disciplines, one common goal                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Research                                          Breakthroughs                                             — Explore some of the biggest innovations in AI                            Publications                                             — Explore a selection of our recent research                 Latest research posts        DolphinGemma: How Google AI is helping decode dolphin communication 14 April 2025            Google DeepMind at NeurIPS 2024 5 December 2024                        View Technologies                                          Gemini                                             — The most general and capable AI models we've ever built                            Project Astra                                             — A universal AI agent that is helpful in everyday life                            Imagen                                             — Our highest quality text-to-image model                            Veo                                             — Our state-of-the-art video generation model                            AlphaFold                                             — Accelerating breakthroughs in biology with AI                            SynthID                                             — Identifying AI-generated content                 Latest technology posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                           View Discover                                          Blog                                             — Discover our latest AI breakthroughs, projects, and updates                            Events                                             — Meet our team and learn more about our research                            The Podcast                                             — Uncover the extraordinary ways AI is transforming our world                 Latest posts        Introducing Gemini 2.5 Flash 17 April 2025            Generate videos in Gemini and Whisk with Veo 2 15 April 2025                   TIPS: Text-Image Pretraining with Spatial awareness  Published 10 March 2025    View publication      Download                   Share                                                  Copy link                   ×                          Abstract While image-text representation learning has become very popular in recent years, existing models tend to lack spatial awareness and have limited direct applicability for dense understanding tasks. For this reason, self-supervised image-only pretraining is still the go-to method for many dense vision applications (e.g. depth estimation, semantic segmentation), despite the lack of explicit supervisory signals. In this paper, we close this gap between image-text and self-supervised learning, by proposing a novel general-purpose image-text model, which can be effectively used off the shelf for dense and global vision tasks. Our method, which we refer to as Text-Image Pretraining with Spatial awareness (TIPS), leverages two simple and effective insights. First, on textual supervision: we reveal that replacing noisy web image captions by synthetically generated textual descriptions boosts dense understanding performance significantly, due to a much richer signal for learning spatially aware representations. We propose an adapted training method that combines noisy and synthetic captions, resulting in improvements across both dense and global understanding tasks. Second, on the learning technique: we propose to combine contrastive image-text learning with self-supervised masked image modeling, to encourage spatial coherence, unlocking substantial enhancements for downstream applications. Building on these two ideas, we scale our model using the transformer architecture, trained on a curated set of public images. Our experiments are conducted on 8 tasks involving 16 datasets in total, demonstrating strong off-the-shelf performance on both dense and global understanding, for several image-only and image-text tasks. Code and models are released at https://github.com/google-deepmind/tips. Authors Kevis-Kokitsi Maninis, Kaifeng Chen, Soham Ghosh, Arjun Karpur, Koert Chen, Ye Xia, Bingyi Cao, Daniel Salz, Guangxing Han, Jan Dlabal, Dan Gnanapragasam, Mojtaba Seyedhosseini, Howard Zhou, Andre Araujo Venue ICLR 2025     Footer links    Follow us                                              About         About Google DeepMind   Responsibility & Safety   Research   Technologies   Blog   Careers        Learn more         Gemini   Veo   Imagen   SynthID                           Sign up for updates on our latest innovations                        Email address           Please enter a valid email (e.g., ""name@example.com"")     I accept Google's Terms and Conditions and acknowledge that my information will be used in accordance with Google's Privacy Policy. Sign up                About Google   Google products   Privacy   Terms   Cookies management controls",Whisk with Veo 2 15 April 2025                   TIPS: Text-Image Pretraining with Spatial awareness,"While image-text representation learning has become very popular in recent years, existing models tend to lack spatial awareness and have limited direct applicability for dense understanding tasks. For this reason, self-supervised image-only pretraining is still the go-to method for many dense vision applications (e.g. depth estimation, semantic segmentation), despite the lack of explicit supervisory signals. In this paper, we close this gap between image-text and self-supervised learning, by proposing a novel general-purpose image-text model, which can be effectively used off the shelf for dense and global vision tasks. Our method, which we refer to as Text-Image Pretraining with Spatial awareness (TIPS), leverages two simple and effective insights. First, on textual supervision: we reveal that replacing noisy web image captions by synthetically generated textual descriptions boosts dense understanding performance significantly, due to a much richer signal for learning spatially aware representations. We propose an adapted training method that combines noisy and synthetic captions, resulting in improvements across both dense and global understanding tasks. Second, on the learning technique: we propose to combine contrastive image-text learning with self-supervised masked image modeling, to encourage spatial coherence, unlocking substantial enhancements for downstream applications. Building on these two ideas, we scale our model using the transformer architecture, trained on a curated set of public images. Our experiments are conducted on 8 tasks involving 16 datasets in total, demonstrating strong off-the-shelf performance on both dense and global understanding, for several image-only and image-text tasks. Code and models are released at https://github.com/google-deepmind/tips.",10 March 2025,"Kevis-Kokitsi Maninis, Kaifeng Chen, Soham Ghosh, Arjun Karpur, Koert Chen, Ye Xia, Bingyi Cao, Daniel Salz, Guangxing Han, Jan Dlabal, Dan Gnanapragasam, Mojtaba Seyedhosseini, Howard Zhou, Andre Araujo","['vision', 'scale', 'image', 'dense', 'text']"
